doc_id,clausula_id,clausula,sentimiento,confianza,tiene_negador,tiene_cuantificador_bajo,tiene_modal_atenuante,topico
174,0,Tiene un manejo asertivo de los temas sensibles que se tocan en la clase,POS,0.5721,False,False,False,0
175,0,Tiene la disposición de enseñar y es una clase práctica,POS,0.863,False,False,False,-1
177,0,Me abrió la mirada asía otro horizonte de mi carrera y como me puedo desempeñar en una área diferente,POS,0.7335,False,False,False,1
181,0,Es divertido tener clase con el profe,POS,0.9603,False,False,False,0
188,0,Buen manejo del tema,POS,0.6745,False,False,False,1
204,0,Es muy habil para explicar un tema,NEG,0.7475,False,False,False,1
207,0,Excelente actitud y experticia total en la materia,POS,0.969,False,False,False,-1
208,0,"El disfrute que se nota que el tiene al dictar la clase, hace que nosotros como alumnos la disfrutemos igual",POS,0.9491,False,False,False,0
210,0,Es muy respetuosa y paciente,POS,0.9482,False,False,False,1
211,0,El uso didáctico de aprendizaje que utiliza la profesora debería ser ejemplo para los demás docentes de las facultades,NEU,0.5165,False,False,True,0
211,1,Resalto la paciencia y lo Presente que esta con cada estudiante en su proceso de formación,POS,0.929,False,False,False,0
211,2,nada mas que decir,NEU,0.5078,True,False,False,11
212,0,"Es una clase interesante, buenos contenidos",POS,0.9758,False,False,False,0
215,0,Es muy buen profesor,POS,0.9631,False,False,False,0
216,0,"el doctor Carlos es un se humano culto y asombroso para esta materia, me llevo uno de sus dichos 'para ser libres, hay que ser cultos'",POS,0.9575,False,False,False,-1
218,0,Todo en orden,POS,0.6218,False,False,False,1
219,0,"Un espacio muy disfrutarle, y dinámico",POS,0.9498,False,False,False,4
220,0,"El profesor es muy bueno, habla de los temas con mucho conocimiento y hace que la clase sea entretenida, es muy disfrutable y justo lo que se espera de una electiva",POS,0.9814,False,False,False,0
221,0,Tiene paciencia y conocimiento sobre el tema,POS,0.7297,False,False,False,1
225,0,"Se nota el conocimiento del profesor, hace que ma materia sea muy entretenida",POS,0.9785,False,False,False,0
226,0,La clase es entretenida e interesante,POS,0.9596,False,False,False,0
227,0,Excelente manejo de clase y de temas,POS,0.9622,False,False,False,0
229,0,"Es una persona que ama enseñar, excelente profesional",POS,0.9739,False,False,False,0
231,0,"es cool la profe, enseña bien y con paciencia",POS,0.9775,False,False,False,2
238,0,Sabe mucho sobre el tema y tienen varios conocimientos adecuados para dictar la materia,POS,0.8576,False,False,False,1
241,0,Le sabe,NEU,0.5159,False,False,False,1
242,0,Muy buen clase,POS,0.947,False,False,False,0
244,0,Propicia un ambiente dinámico,POS,0.7203,False,False,False,8
246,0,"Resalto que es una profesora muy integral, tiene conocimientos muy amplios de las artes y de cultura general en si, que nos aportan",POS,0.9611,False,False,False,2
247,0,Utiliza métodos bastante didácticos y propone espacios para que los estudiantes exploren la creatividad,POS,0.9077,False,False,False,13
250,0,Muy buena,POS,0.4705,False,False,False,1
251,0,La metodología de evaluación es bastante buena y considero que esta ha hecho que interiorize mucho mejor los temas,POS,0.9586,False,False,False,1
252,0,Es una profesora asertiva que enriquece el conocimiento adaptativo para afrontar las situación,POS,0.8808,False,False,False,2
253,0,Buenas didácticas de clase y buena explicación de los temas,POS,0.963,False,False,False,0
255,0,La actitud que genera en la clase,NEU,0.5104,False,False,False,0
256,0,Las clases son súper didácticas y dinámicas,POS,0.9632,False,False,False,0
257,0,Fluidez y experiencia sobre su rol como docente y conocimiento de temas,POS,0.524,False,False,False,0
258,0,El profesor encontró un espacio en el cual nos relaciona la perspectiva del valor juego cultural,POS,0.6363,False,False,False,-1
259,0,"La profesora tiene una energía bonita, las actividades que realiza son muy dinámicas e interesantes",POS,0.981,False,False,False,0
263,0,Tiene conocimientos muy sólidos en su clase,POS,0.9399,False,False,False,0
264,0,"Es un profesor muy atento, sabe muy bien enseñar, me gusta que les preocupaba por la naturaleza, los climas y todo lo que puede llegar a pasar en un futuro con nuestro país",POS,0.9691,False,False,False,0
264,1,Es importante recordar que el le gusta enseñar lo que hace y que hace que nosotros nos preocupemos por el ambiente y por la salud de todos,POS,0.9265,False,False,False,0
265,0,original y sympatico,POS,0.4952,False,False,False,1
266,0,Fui bastante decepcionada de esta clase,NEG,0.9439,False,False,False,3
266,1,"No aprendemos nada, hemos hablado de la etimologia de 'cinema' durante 4 horas",NEG,0.6653,True,False,False,3
266,2,"sin aprofondizar realmente, y no era lal razon de porque elige esta clase",NEU,0.4933,True,False,False,3
267,0,Demuestra dominio de los temas,NEU,0.507,False,False,False,1
268,0,Buen profe,NEU,0.4593,False,False,False,0
270,0,Muy buena la clase el profe súper,POS,0.9773,False,False,False,0
272,0,Buena bibliografía,POS,0.9261,False,False,False,-1
272,1,Exposición clara y amplia de los temas,POS,0.6155,False,False,False,1
272,2,Conocimiento profundo de los autores y su contexto,NEU,0.5348,False,False,False,12
274,0,Da muy buenos ejemplos claros de la vida real para entender mejor los temas,POS,0.911,False,False,False,1
276,0,conoce del tema,NEU,0.7426,False,False,False,1
281,0,El profesor demuestra que prepara sus clases y enseña con claridad,POS,0.926,False,False,False,0
281,1,Tiene una buena actitud al momento de explicar y su método de calificación es claro,POS,0.9555,False,False,False,-1
281,2,Me parece justo con la dificultad de las actividades y receptivo a las peticiones del grupo,NEU,0.7783,False,False,False,1
281,3,"Además, se nota que tiene un buen dominio del tema, ademas es muy cordial, Excelente profesor",POS,0.9756,False,False,False,0
285,0,"Sabe expresar el contenido del curso de un modo concreto, lo que lleva a que las clases no se sientan tan pesadas con las explicaciones y los talleres, quices y proyectos van acorde con lo enseñado en clase",POS,0.5391,True,False,False,-1
286,0,"Buena forma de explicar, es didacta con diferentes formas de evaluación y muy humano",POS,0.9389,False,False,False,1
288,0,Metodología orientada al desarrollo de habilidades mediante ejercicios prácticos asociados a los resultados de desempeño del semestre,NEU,0.6552,False,False,False,10
291,0,Hemos aprendido a hacer visualizaciones efectivas,POS,0.8003,False,False,False,-1
293,0,es muy apasionado por su materia y busca transmitir esa alegria,POS,0.9711,False,False,False,1
295,0,Se esmera por su trabajo,NEU,0.5256,False,False,False,1
296,0,"Tranquilo, responde preguntas",NEU,0.711,False,False,False,-1
298,0,Es muy inteligente,POS,0.9001,False,False,False,1
300,0,"Es un excelente profesor, se le entiende perfectamente cuando explica los temas de clase",POS,0.9769,False,False,False,0
304,0,"Excelente profesor en el sentido práctico, difícil que alguien enseñe mejor su materia, excelente persona, integral",POS,0.962,False,False,False,0
305,0,"El profesor transmite los conceptos de forma clara, contextualiza los temas y permite que la malla curricular se desarrolle de la mejor forma posible",POS,0.7982,False,False,False,0
306,0,"El profesor explica de forma clara los conceptos, se preocupa por que los estudiantes entendamos por completo el tema y eso nos motiva a aprender",POS,0.9367,False,False,False,0
306,1,Es un profesor excelente,POS,0.9614,False,False,False,0
308,0,"El profesor desarrolla los temas de forma clara, conecta los conceptos con situaciones de la vida real y eso nos permite aterrizar las temáticas al mundo cotidiano",POS,0.8306,False,False,False,0
309,0,Las clases son muy enriquecedoras en cuando a las temáticas,POS,0.9307,False,False,False,0
310,0,Las temáticas de la clase son complementarias con el componente interdisciplinar que tiene la facultad,NEU,0.6596,False,False,False,-1
310,1,"El espacio académico es muy bueno, la profesora contextualiza cada uno de los temas y permite que la comprensión de los mismos sea excelente",POS,0.972,False,False,False,0
310,2,Es una clase muy bonita,POS,0.968,False,False,False,0
313,0,Excelente metodología y clase,POS,0.9553,False,False,False,0
314,0,El docente en parciales con algunos estudiantes se limita a decir “no resuelvo ninguna duda o pregunta” para inmediatamente a otros estudiantes si resolverles las dudas de procedimientos durante el parcial,NEU,0.6321,True,False,False,-1
314,1,Con algunos ni siquiera una pista basica de por que metodos,NEG,0.7302,True,False,False,-1
314,2,con otros estudiantes si les apoya hasta diciendoles como,NEU,0.8251,False,False,False,0
314,3,Situaciones con margen de diferencia de minutos,NEU,0.771,False,False,False,6
314,4,Claro favoritismo,NEG,0.7586,False,False,False,1
315,0,"Muy buen manejo del tema, se nota que sabe y que le apasiona el tema",POS,0.9752,False,False,False,1
320,0,"Muy buen manejo del tema, ademas, se nota que le apasiona, y un pensum interesante",POS,0.9759,False,False,False,1
328,0,Al estar en el mundo del congreso propicia experiencias que aportan en el desarrollo de la clase,POS,0.8345,False,False,False,0
329,0,La clase se basa a través de negociaciones por lo que uno puede fortalecer capacidades y habilidades blandas,POS,0.5473,False,False,False,0
331,0,Excelente profesora,POS,0.6124,False,False,False,0
331,1,Muy comprometida,NEU,0.5164,False,False,False,1
332,0,Su creatividad,NEU,0.5008,False,False,False,13
333,0,Es evidente que conoce y sabe mucho de la realidad y funcionamiento del país,POS,0.6906,False,False,False,1
333,1,Destaco la inclusión de otros ejemplos internacionales para sus explicaciones,NEU,0.5163,False,False,False,1
334,0,Excelente profesor,POS,0.44,False,False,False,0
334,1,"Responsable, amable y ético",POS,0.756,False,False,False,1
334,2,"Las retroalimentaciones, el trato y el trabajo con el profesor son muy agradables y buenas",POS,0.9784,False,False,False,0
335,0,Felicito el trato de la profesora y su amabilidad,POS,0.9682,False,False,False,0
336,0,"Es un excelente profesor, en el que es evidente su compromiso académico, personal y profesional con nuestro desarrollo",POS,0.9651,False,False,False,0
336,1,Felicito su actitud y rectitud,POS,0.9286,False,False,False,1
337,0,El profesor ofrece buenas explicaciones y está muy dispuesto a conversar para aclarar dudas,POS,0.7587,False,False,False,0
338,0,El docente propone clases dinámicas e interesantes,POS,0.8219,False,False,False,0
338,1,Mantiene una actitud positiva y evidencia esfuerzo y compromiso,POS,0.904,False,False,False,1
339,0,El docente da explicaciones concisas y claras que favorecen el aprendizaje,POS,0.7405,False,False,False,0
339,1,"Además, el ambiente de clase es excelente y muy agradable",POS,0.9796,False,False,False,0
342,0,"El profesor es una persona respetuosa con los estudiantes y mantiene un trato amable en todo momento y muestra empatía hacia los estudiantes y está dispuesto a escuchar o ayudar cuando puede siempre con una actitud tranquila y respetuosa, lo que genera un ambiente de sano en la clase",POS,0.9057,False,False,False,0
344,0,"En el caso, de la profesora Lorena Fajardo si tengo algunas inconformidades debido a que ella no responde los correos para agendar monitorias y no tiene disposición para re agendar o sacar un tiempo",NEG,0.9226,True,False,False,3
344,1,"Lo cual, resulta perjudicial a la hora de realizar las entregas",NEG,0.9391,False,False,False,-1
345,0,es abierto y encuadra los temas al ambito nacional real,NEU,0.6593,False,False,False,1
346,0,muy disciplinada y exigente con el programa,POS,0.7188,False,False,False,-1
348,0,"David es muy paciente y creo que sus clases son divertidas, ha hecho que estudiar y aprender sea algo muy fácil de llevar y no sea aburrido",POS,0.976,True,False,False,-1
350,0,"Adriana realmente ha logrado facilitarnos y llevarnos de la mano durante este nuevo proceso en la universidad, increíble profesora",POS,0.9667,False,False,False,-1
352,0,"Juan Carlos es un profesor muy paciente, sus clases son muy divertidas y hemos aprendido un montón",POS,0.9817,False,False,False,0
354,0,"Las clases de Castrillón son muy divertidas, ha logrado que aprendamos mucho y que realmente disfrutemos el proceso de aprendizaje",POS,0.9769,False,False,False,0
355,0,"es muy dedicada en su trabajo y explica, y se nota q sabe mucho",POS,0.9653,False,False,False,1
356,0,es muy dedactico,NEG,0.8422,False,False,False,1
363,0,"Es un docente que se nota que tiene una larga trayectoria, aborda los temas de clase y los hace fáciles de entender",POS,0.952,False,False,False,0
371,0,profundidad en los temas,NEU,0.677,False,False,False,1
375,0,buen manejo de grupo,POS,0.8646,False,False,False,1
393,0,Mucha paciencia,NEU,0.6223,False,False,False,1
395,0,Explica con ejemplos muy didácticos,POS,0.9058,False,False,False,1
396,0,Tiene un conocimiento excelente sobre el tema y se nota que le gusta enseñar,POS,0.9772,False,False,False,0
397,0,Explica con ejemplos muy didácticos y aterrizados,POS,0.9455,False,False,False,1
398,0,"Cuida muchos de sus estudiantes, explica de una manera muy sencilla, procura que los temas realmente se entiendan y da el espacio para desarrollar de manera profunda las actividades, además de brindar muy buenas retroalimentaciones",POS,0.9519,False,False,False,-1
399,0,Procura simplificar los temas para mejor compresión sin dejar de lado la calidad,NEU,0.6822,True,False,False,1
400,0,"Se nota que le gusta lo que hace, es responsable y sabe mucho del tema",POS,0.9575,False,False,False,1
407,0,Tiene muchos conocimientos del tema,NEU,0.614,False,False,False,1
412,0,Explica bien y el programa me parece que aborda gran variedad de temas,POS,0.9676,False,False,False,1
418,0,Realmente se toma el tiempo de que cada sesión de clase genere interés en los estudiantes,POS,0.7006,False,False,False,-1
418,1,"Se siente que cada actividad propuesta está muy bien planeada, además, incentiva a los estudiantes con su actitud",POS,0.9695,False,False,False,-1
421,0,La clase últimamente ha sido muy chévere,POS,0.9566,False,False,False,0
424,0,"Me parece una materia interesante por lo que permite conocer y aprender a usar plataformas útiles para el mercado de capitales, muchas ni las conocía y menos como sacarles provecho",POS,0.9473,True,True,False,-1
425,0,El mejor profesor que he tenido en toda mi vida,POS,0.9468,False,False,False,0
427,0,Explica muy bien el docente y es muy atento a resolver dudas y el programa me parece que aborda gran variedad de temas,POS,0.9683,False,False,False,0
429,0,Explica muy bien el docente y es muy atento a resolver dudas y el programa me parece que aborda gran variedad de temas,POS,0.9683,False,False,False,0
433,0,El docente explica bien y es atento a dudas,POS,0.8789,False,False,False,0
435,0,El docente explica bien y es atento a dudas,POS,0.8789,False,False,False,0
435,1,Buena distribución de los porcentajes de calificación,POS,0.6397,False,False,False,-1
444,0,Excelente profesora,POS,0.6124,False,False,False,0
445,0,Todo excelente,NEU,0.5931,False,False,False,1
446,0,Todo excelente,NEU,0.5931,False,False,False,1
447,0,"Todo genial, no cambies",POS,0.8863,True,False,False,1
454,0,Brinda infromación de manera clara y explica bien,POS,0.738,False,False,False,1
455,0,Excelente profesor,POS,0.44,False,False,False,0
456,0,Excelente profesora,POS,0.6124,False,False,False,0
457,0,Excelente profesor,POS,0.44,False,False,False,0
458,0,Excelente profesora,POS,0.6124,False,False,False,0
460,0,Persona muy conocedora en el área de forex,NEU,0.7097,False,False,False,1
460,1,Explicaciones claras y concisas,POS,0.526,False,False,False,1
461,0,Excelente profesor,POS,0.44,False,False,False,0
469,0,Es muy organizado en la estructura de la clase,NEU,0.695,False,False,False,0
470,0,La clase es muy interesante,POS,0.9264,False,False,False,0
471,0,La clase es muy didáctica y el profesor enseña muy bien,POS,0.9782,False,False,False,-1
472,0,La clase muy chévere y didáctica,POS,0.977,False,False,False,0
473,0,El dominio de los temas q tiene el profesor,NEU,0.4378,False,False,False,0
474,0,La clase es muy didáctico y divertida,POS,0.9743,False,False,False,0
475,0,Es didáctica,NEU,0.4829,False,False,False,0
480,0,"Es una grandiosa persona, se nota el cariño que tiene por los estudiantes",POS,0.9791,False,False,False,0
480,1,Transmite mucha tranquilidad y confianza,POS,0.9439,False,False,False,-1
481,0,"Su manera de explicar es envolvente, engancha con la primera palabra",POS,0.9167,False,False,False,1
481,1,Sus lecturas y material de clase son destacables,POS,0.9738,False,False,False,12
481,2,evita lo pesado y aplaude lo conciso,POS,0.5601,False,False,False,1
482,0,Los talleres que propone obligan a un uso del 100% de nuestra intelectualidad y dedicación,POS,0.572,False,False,False,1
483,0,"Resalto su creatividad para captar la atención de los estudiantes, proyecta confianza y tranquilidad",POS,0.9427,False,False,False,0
483,1,Sus clases son claras y enriquecedoras,POS,0.9718,False,False,False,0
491,0,Excelente docente,POS,0.5798,False,False,False,0
492,0,Excelente docente,POS,0.5798,False,False,False,0
495,0,Es un profesor con muy buen conocimiento y experticia en la materia,POS,0.974,False,False,False,0
497,0,El mejor profesor en este semestre,POS,0.9403,False,False,False,0
503,0,Que sabe mucho del tema me deja muy sorprendida los conocimientos que tiene sobre el tema,POS,0.9645,False,False,False,1
504,0,Explica muy bien,POS,0.9363,False,False,False,1
505,0,Es muy comprometido con la clase,POS,0.813,False,False,False,0
507,0,"Clase didáctica, buen trato por parte del profesor",POS,0.9561,False,False,False,-1
508,0,Trato sumamente respetuoso por parte de la profesora y en el espacio,POS,0.6559,False,False,False,0
512,0,Clase sumamente interesante,POS,0.9008,False,False,False,0
513,0,Su metodología,NEU,0.6797,False,False,False,1
513,1,"exigente, es efectiva",NEU,0.6875,False,False,False,1
514,0,Transmite tranquilidad a los estudiantes y es muy paciente,POS,0.9577,False,False,False,0
516,0,Es muy bueno explicando,POS,0.8888,False,False,False,1
520,0,La docente siempre busca diversas estrategias para lograr que los estudiantes conecten con la clase y así hacerla mucho más dinámica,POS,0.7396,False,False,False,0
521,0,Su clase es demasiado enriquecedora y más para aquellos que nos interesa el área del emprendimiento,POS,0.9598,False,False,False,-1
530,0,"Resalto su entusiasmo, profesionalismo y capacidad para generar impacto en los temas vistos",POS,0.9027,False,False,False,-1
531,0,Su dedicación por compartir el conocimiento tanto académico como profesional,POS,0.8809,False,False,False,-1
531,1,"Es un docente muy completo, uno de los mejores de la facultad y de la universidad",POS,0.9757,False,False,False,-1
532,0,Gracias por tanto,POS,0.7586,False,False,False,1
532,1,Una de las mejores,POS,0.942,False,False,False,1
533,0,La profesora es muy buena en el manejo de las temáticas,POS,0.9494,False,False,False,0
542,0,Es muy buena explicando y tiene un horario muy flexible,POS,0.9585,False,False,False,6
556,0,"Nada, súper pasivo-agresiva",NEG,0.512,True,False,False,11
556,1,"En mi opinión, no enseña nada nuevo",NEU,0.4968,True,False,False,3
556,2,Me siento estafado este semestre con este “GobLab”,NEG,0.9673,False,False,False,-1
557,0,Buena profesora,POS,0.4638,False,False,False,0
557,1,no entiendo cómo es posible que hayan aprobado el GobLab sin saber qué programa se iba a trabajar o evaluar,NEG,0.8266,True,False,False,3
557,2,¿Cómo se evalúa algo que no existe,NEU,0.499,True,False,False,5
557,3,Qué desorden,NEG,0.56,False,False,False,1
557,4,¿No se supone que los GobLab deben ser aprobados previamente mediante una revisión por pares,NEU,0.7977,True,False,False,3
557,5,"De nuevo, qué desastre de semestre",NEG,0.9666,False,False,False,1
558,0,"Excelente profesor, uno de los mejores que he tenido en toda la carrera",POS,0.9748,False,False,False,0
558,1,Lástima haberlo tenido hasta GobLab,NEG,0.9118,False,False,False,-1
558,2,"además, qué desastre de GobLab",NEG,0.9608,False,False,False,1
559,0,"Muy buena clase, súper necesaria",POS,0.9766,False,False,False,0
559,1,Buen maestro,NEU,0.4629,False,False,False,0
559,2,"se suponía que él debía ser el eje del GobLab y no lo fue, no solo por ser secretario de Planeación, sino también por el tema del GobLab, el cual, desafortunadamente, no se pudo desarrollar",NEG,0.9081,True,False,False,3
559,3,¿Cómo se va a evaluar algo que ni siquiera está en marcha como debería estarlo,NEG,0.8673,True,False,True,-1
560,0,"En lo personal, no me gusto mucho su clase",NEG,0.6691,True,False,False,3
560,1,"Nada le gusta, nada le parece",NEG,0.8773,True,False,False,11
560,2,Tampoco la veo necesaria,NEU,0.5053,True,False,False,11
561,0,Es un profesor demasiado respetuoso y generoso con las y los estudiantes,POS,0.9544,False,False,False,0
562,0,"Explica de manera clara los temas de clase, brinda espacios de refuerzo académico y es dinámica en sus explicaciones",POS,0.907,False,False,False,0
563,0,Utiliza diferentes recursos que facilitan el aprendizaje de los temas de clase,NEU,0.4978,False,False,False,0
564,0,"Sus explicaciones son claras y detalladas, además de siempre brindar un trato generoso con los estudiantes",POS,0.9457,False,False,False,-1
565,0,"Excelente profesor, dinámico y claro en sus explicaciones",POS,0.9631,False,False,False,0
566,0,"El profesor maneja buenos conocimientos, los cuales son aplicados de manera oportuna al espacio académico",POS,0.8478,False,False,False,0
567,0,El profesor tiene conocimiento de los temas de clase,NEU,0.9272,False,False,False,-1
575,0,Excelente profesora,POS,0.6124,False,False,False,0
576,0,"Los temas tratados en clase son aplicables a temas por fuera de lo académico, lo que ofrece más herramientas para los estudiantes fuera de las aulas",NEU,0.8097,False,False,False,0
577,0,"La profesora tiene mucho conocimiento en múltiples sectores, lo que permite aprender mucho más y comprender más allá de lo académico",POS,0.8583,False,False,False,0
578,0,"Es una materia diferente, que enseña a tomar decisiones a partir de los datos lo que permite prepararse para temas diferentes a lo académico",POS,0.6514,False,False,False,-1
579,0,"La docente tiene mucho conocimiento sobre el tema, además usa ejemplos que ayudan a comprender los temas tratados en clase, siempre enfocada a obtener el mayor conocimiento, podría asegurar que es de las pocas clases que logra atrapar a los estudiantes",POS,0.9365,False,True,True,0
580,0,Explica de forma pertinente los contenidos del curso y adapta su método de enseñanza a las necesidades del curso,POS,0.6275,False,False,False,-1
599,0,"Su conocimiento no se limita a los temas de clase e integra historia, política, finanzas",NEU,0.7987,True,False,False,1
601,0,termina la clase a tiempo,NEU,0.7768,False,False,False,6
607,0,"El espacio académico es demasiado grato, de la clases que más placenteras se me hace ir, el ambiente es bueno, y las clases son bastante personalizadas debido a la poca cantidad de alumnos, la profe resuelve todas las dudas al igual que la monitoria, es muy buena ella también",POS,0.9783,False,True,False,-1
610,0,Excelente explicando,POS,0.7443,False,False,False,1
612,0,"Las lecturas del programa de clase son muy valiosas, de allí he obtenido gran parte del aprendizaje en la clase",POS,0.9731,False,False,False,-1
612,1,"Asimismo, es interesante la dinámica de 3 entregas para representar el ciclo del AIN",POS,0.7093,False,False,False,8
614,0,Explica muy bien y tiene manejo del tema,POS,0.9465,False,False,False,1
